,Flipkart_tweets
2564,"Business Insider India: Revolut starts India operations, appoints former Lendingkart, Flipkart executive Paroma Cha… https://t.co/L7k2bKJLv4"
2565,"Best Deal : SAMSUNG 1.5 Ton 3 Star Split Inverter AC - White, Blue  (AR18TY3QBBUNNA/AR18TY3QBBUXNA, Copper Condense… https://t.co/TCCfyKzihC"
2566,My Flipkart account is blocked by Flipkart in this my gift voucher is 300 aproox.plz fix my problem  my account num… https://t.co/mj3S042q1W
2567,"🔥 #realme 80 cm (32 inch) HD Ready LED Smart Android TV @12,749.

₹2250 off With Hdfc Credit card

https://t.co/dN3aemv6fj"
2568,"It is very wrong, I have not received the product with me and till now my return request has not been approved, ple… https://t.co/PRcv0VSMIQ"
2569,"Who is more trust worthy?

Flipkart or Myntra 

Ps:- I mean in terms of their products."
2570,"Flipkart is selling copied item 
I have reported against on them but they have banned my account i don't know why j… https://t.co/XXwTJSb8Ls"
2571,Dear Sir/ Mam @Flipkart I ordered electronic induction 14th April 21 and today 23th April I got it as like used ite… https://t.co/3Nr0SKvCGR
2572,Still nobody has call me for solution @Flipkart @flipkartsupport https://t.co/7X3bvK8sN2
2573,Delivery person from @flipkart outright refused to give me the phone ordered. literally made excuses to not even ta… https://t.co/27knhpPHFE
2574,"Frustrated with @Flipkart , ordered a MI Band, got a defective piece. 
The band isn't even getting charged. 
Not ev… https://t.co/4G96pj0npl"
2575,Hey @help_delhivery @delhivery order something form flipkart and today my product is out for delivery but your deli… https://t.co/SwTK7DXFxr
2576,[Incident: IN2104132155099799828 @flipkartsupport order was placed with Creative Deals but received a dummy product… https://t.co/0WxO12FBC9
2577,"Asics Shoes Start at Rs 1000

https://t.co/75vnfUj7jd"
2578,🛍️ 🛒 Walmart’s Indian eCommerce Marketplace Flipkart Acquiring Cleartrip: https://t.co/6JEHaoHLiI #flipkart… https://t.co/WuKoRTXBxX
2579,So I rated and reviewed a bag 1 star on @Flipkart but they are not showing that!!! And similar thing has happened e… https://t.co/Tfb45ztyjM
2580,"Get 15 SuperCoins for Free :

Open Flipkart app scroll a bit and find above banner

Click on it complete simple tas… https://t.co/rJkFfhjbdb"
2581,"What is this foolishness? I called in @Flipkart support to know about my product, call has been held for 14 minutes… https://t.co/gd3zxaaRFV"
2582,"Blue Star 1.5 Ton 3 Star Split AC - White

https://t.co/K5GMwUei6i

1st Claim 1500rs off Coupon Using 200 Supercoin… https://t.co/sjQUmvGxrg"
2583,"Hard Water stains Remover on Amazon/Flipkart 

#Bangalore #Chennai #Mumbai #Delhi #Pune #Kolkata  #Hyderabad… https://t.co/UsOijhxNTc"
2584,"What's the status of Amazon, Grofers, BigBasket, Flipkart etc in your city? https://t.co/PSXP9cEvEx #Coronavirus"
2585,"Light head, right mood – that's the spirit of the day!​
Get over your weekday stress with the citrusy energy of the… https://t.co/GMWZmKCUyK"
2586,https://t.co/3IIFVBE05o https://t.co/3IIFVBE05o Oscar Hosts: Anne Hathaway &amp; More Stars Who Hosted The Academy Awar… https://t.co/TcyTjsy8UX
2587,"#Flipkart Mobile offer | Get 10% instant discount with HDFC CC/DC  😱

Shop Here 👉 https://t.co/alVIUXajPn

Offer Pe… https://t.co/JPI3oGA7Gw"
2588,"Here check out with multivendor marketplace script ready made.

Buy now:
https://t.co/orFB45KGfd

#ecommerce… https://t.co/SfGGO6oYL0"
2589,#myntra #myntrafashionleague poor customer support ever from #myntra that’s why they can’t compete with #Flipkart and #AmazonIndia
2590,I feel privileged working at Flipkart  where employees metal and physical health is given priority over business ne… https://t.co/5JJfYG3d9e
2591,"Hey @LGIndia , Bought Wing from @Flipkart . You didn't provide Charger. When I went LG service centre they said the… https://t.co/MMCS0MpPkm"
2592,"Experience Near-Stock Android™ 11 right out of the box with #motog60 &amp; #motog40fusion. Get it starting at just ₹13,… https://t.co/jXjqWvKuNA"
2593,Very unprofessional of @Flipkart to deny refund of a fake product delivered. The issue was raised immediately and a… https://t.co/mGaERYeBZg
2594,"Does this happen with you too? 
Because it surely happens with us and that too really often!

Next time you miss an… https://t.co/1rCY5R30LB"
2595,Hello @Flipkart being a plus member I should not be charged delivery fee. Why I have been ask to pay ₹55 as deliver… https://t.co/ZapDZzLhEQ
2596,"Stylish #Black Weaved #GenuineLeather Unisex #Wallet.
Available on:
https://t.co/L1YK4mm2Cr (website)… https://t.co/iNSjsX3aUh"
2597,"CHAIN Analog Watch - For Men

 Deal : ₹ 599/- 
 Price : ₹ 2500.0/- 
 Discount : 76% OFF

Shop Here 👉… https://t.co/Sw19BsORFw"
2598,"Get 15 SuperCoins for Free

Open Flipkart app scroll a bit and find above banner

Click on it complete simple task… https://t.co/KfFP3djZU0"
2599,"🌟Get 15 SuperCoins for Free : Flipkart

https://t.co/5v1FteT2Rd

Open Flipkart app scroll a bit and find above bann… https://t.co/rFU3HfGn50"
2600,"#Flipkart | Get #SuperCoins for Free 🔥

1.  Open Flipkart App  
Direct Link 👉  https://t.co/fhquD81h2H
then, scroll… https://t.co/FBhrE8WAk7"
2601,Dear @Flipkart  How do You Decide that Some Phones and Laptops are Essential and some Are not essential and Not Ava… https://t.co/pNopeCP6VF
2602,"Jogger Fit Men Dark Blue Jeans

 Deal : ₹ 325/- 
 Price : ₹ 899.0/- 
 Discount : 64% OFF

Shop Here 👉… https://t.co/pwTm4OkwNR"
2603,"Hello, @Flipkart. An order was supposed to be delivered today. But when I'm trying to connect to the delivery boy,… https://t.co/27DDevUqQS"
2604,"Dear @Flipkart 
Don't play with humans emotions....Yahi dekhna baki rah gya tha😂

Manma emotion jaage re...😜… https://t.co/qQ1sch7lFX"
2605,"This is the another's time in a row were @amazonIN @amazon has delayed the product delivery. 

@JeffBezos i feel yo… https://t.co/ZKu60hzNJ1"
2606,"Dear @Flipkart 

This is to inform you that your customers support system is very pathetic. I requested for refund… https://t.co/SPJJs5uX9U"
2607,"More 3 days to go for the wonderful match to win again with the stamina of Tenali Double Horse.

ShopNow:… https://t.co/AiK1bubcDo"
2608,"Extra 500₹ off On #Oppo Mobiles + 750rs off With Hdfc Credit card

Claim From Here : https://t.co/2YCiZBzQRL

Eligi… https://t.co/CI7abN6Hha"
2609,The one thing that can't be quarantined in these times is love. This #WorldBookDay witness the launch of 'Can't Qua… https://t.co/ptrMSWiSG6
2610,"🌟APPLE MacBook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) at ₹85,650

₹7,250 Off On HDFC Credit Card 

✅Master Link… https://t.co/tk0jriokY6"
2611,"[HDFC Credit Card Users] 
Realme 80 cm (32 inch) HD Ready LED Smart Android TV  (TV 32)

Deal : ₹ 12,749/- 
Price :… https://t.co/Rjc2KphrB3"
2612,"hello buddy !
https://t.co/kVhLCxMQKt
cool dude !
https://t.co/kVhLCxMQKt 
 https://t.co/HIFG7JAOYV nice collection… https://t.co/YW88ARdof8"
2613,The enter button in the ATM is the most used and therefore the dirtiest. Make sure you sanitize your hands after yo… https://t.co/0RVeQrV2MH
2614,"FLIPKART THE GRAND KITCHEN SALE 🔥 

Min 30% Off

+ 10% Extra off with HDFC Cards

+ Up to 3.2% PW REWARD

Starting… https://t.co/UJGh0Hg8Km"
2615,"Dear @Flipkart ,
I hv recvd an vapourizer inhaler. Once opn I hv found tht its used one. It’s a vry  Unlawful that… https://t.co/fa38oB4070"
2616,"Flipkart Cooling Days
(22nd - 26th April)🤩🤩

Up to 60% Off on ACs, Refrigerators, Air Coolers &amp; More 

+10% Discoun… https://t.co/bVBn1vnqn7"
2617,"Extra 500rs off On Oppo Mobiles + 750rs off With Hdfc Credit card

Claim From Here : https://t.co/YuoiBt9qyo

Eligi… https://t.co/WMJMfrjHUk"
2618,"This is @Flipkart 
Claims to deliver essentials only... Although essentials are even not delivered at time... 
Item… https://t.co/lORH8EIsGu"
2619,"Extra 500rs off On Oppo Mobiles + 750rs off With Hdfc Credit card

Claim From Here :  https://t.co/zVg96aQ3U8

Elig… https://t.co/5jfODzIUnw"
2620,"Flipkart New Game | Earn Free SuperCoins in some minute doing small tasks

Link : https://t.co/qo8Qy9X6sD

Open fro… https://t.co/ZKpiWD4SRB"
2621,#Flipkart #Flipkartindia #flipkartshopping #Flipkartsale A NIGHTMARE
2622,"Flipkart | Extra ₹500 OFF on Oppo Mobiles + ₹750 OFF with HDFC Credit Cards

Claim From Here :… https://t.co/YP7tKFPVaS"
2623,"How do you eat says a lot about you? Comment below on how do you eat it? 

Amazon: https://t.co/MY6EwvbtpF
Flipkart… https://t.co/8yXmnUlkxi"
2624,"Hey @Flipkart ,

Regarding my recent purchase I got this message inside the box.

The product was good but asking f… https://t.co/pzsMgpcJRK"
2625,"Flipkart | Get 15 SuperCoins for Free 

Open Flipkart app scroll a bit and find above banner… https://t.co/LNhpIIhE9H"
2626,I truly appreciate the customer support provided by the team of @flipkartsupport @Flipkart.  Though it took a bit l… https://t.co/cKSENb6Lh3
2627,"Get 15 SuperCoins for Free : Flipkart

 https://t.co/mQtg8nrJCd

Open Flipkart app scroll a bit and find above bann… https://t.co/0EulaOsDl8"
2628,"Get 15 SuperCoins for #Free :

Open Flipkart app scroll a bit and find above banner

Click on it complete simple ta… https://t.co/9Wk1ARpNCw"
2629,Win Guaranteed 15 Supercoins With Flipkart Big Saving Days Challenge -- Flipkart -- Rs. https://t.co/H478Cb7A8h
2630,Damaged product leaked baby shampoo received from flipkart tried to contact but no response #Flipkart… https://t.co/oyCtjybtgh
2631,"Dear @Flipkart 
Do you have shame?
I am waiting for my parcel which have to be delivered today.
While taking enquir… https://t.co/O4JOOPUlPF"
2632,"Flipkart Daily Power Play With Champions Quiz Answers | 23 April 2021 | Punjab vs Mumbai
https://t.co/lR3i6HkB7m https://t.co/eHDqSBzZYU"
2633,"Flipkart The Bid and Win Show Quiz Answers (23 April 2021) Apple iPad Mini
https://t.co/pz8DdoOjsL https://t.co/BvxXw7ds4t"
2634,"Flipkart For Your Information FYI Quiz Answers (23 April 2021)
https://t.co/1AeIDp7G6p https://t.co/zhw39TOAm9"
2635,"New scam by @Flipkart 
Order not being placed after debiting payment from Bank and refusing to refund the amount by… https://t.co/QfQNW5cjtb"
2636,"Water Marks Stains Remover on Amazon/Flipkart  

#Bhopal #Kanpur #Tiruppur #Amritsar #Kozhikode #Warangal #Udaipur… https://t.co/3rpf2ccurs"
2637,Decided not to buy single products for @Flipkart  I have ordered &amp; requested to return. After long waiting finally… https://t.co/gPh1bt5c2b
2638,"Flipkart Fake or Not Quiz Answers Today (23 April 2021)
https://t.co/Ji3Yujxc4y https://t.co/fX2BOaAnnC"
2639,"Please help online channels(flipkart,amazon etc) to stock up OXYGEN CONCENTRATORS ,currently they are out of stock… https://t.co/tNsEh3ZhAj"
2640,"Flipkart Daily Trivia Quiz Answers (23 April 2021)
https://t.co/vFeYCyGnbZ https://t.co/YagxPHecH0"
2641,This myth comes from fears about batteries overheating🤯. Lithium-ion batteries can be dangerous if they have any ty… https://t.co/H09K8fqUMO
2642,"💥💥Pigeon 1.5 Litre Electric kettle @ 575/-
👉 https://t.co/iT2357o3it

💥💥 Pigeon by Stovekraft Crystal Glass Electri… https://t.co/iU1cqhVZX9"
2643,"Realme 8 Pro yellow color variant to go on sale on 26th April @realmeIndia @Flipkart
https://t.co/YOlnHMgRG4"
2644,"Mi QLED TV 75 launched in India. It is priced at 1,19,999 and ut will come to sale on April 27th via Flipkart.… https://t.co/r61KSBmu10"
2645,"Hey @Flipkart , Had ordered for one product and received different
Order Id :- OD221590857814719000
See pictures… https://t.co/QAj4H18Ns4"
2646,"Healthcare Products You Can Buy on Amazon, Flipkart During COVID-19 Pandemic https://t.co/37UHf1Wjv4 https://t.co/0rbZ3tADbu"
2647,"Day 6-10 of #100DaysOfCode 
Loving the CiP assignments
Also didn't clear the Flipkart runway test, I knew where I w… https://t.co/vANT40sJzn"
2648,"2nd item is not delivered on time 
@Flipkart 
Great work by team @Flipkart 
One item had been cancelled...this will… https://t.co/0NriO6KSaK"
2649,"Oppo A53s 5G phone launching in India on 27th April 2021. Available exculsively in #Flipkart 

#oppo… https://t.co/ZRi1PojaIe"
2650,For many a portable oxygen concentrator should be sufficient. Many are available in the market at reasonable price.… https://t.co/Y2drey3aDT
2651,"Try our fish curry masala for a delicious lunch!

Purchase now:
https://t.co/oizd9CDtIe
https://t.co/3T0OBjxv1B… https://t.co/ySFojDINAY"
2652,For many a portable oxygen concentrator should be sufficient. Many are available in the market at reasonable price.… https://t.co/r5haIVMmHg
2653,Hello Everyone 🙏 please don’t go for flipkart. If you want to purchase some product from any E-commerce please don’… https://t.co/pdjLElxeRt
2654,"Staying stylish just got easier!
Explore and choose your pick from 100+ Watch Faces of #TheStylishNewPro,… https://t.co/B2GqjjaszN"
2655,Indian court throws out Flipkart-backed PhonePe’s plea over trademark claim https://t.co/bsNidnuFbM
2656,Top Selling products on Amazon and Flipkart| Top Profitable product NO-2... https://t.co/ncCtFAChoE via @YouTube
2657,Is App-Only Strategy Profitable in Indian Ecommerce Industry https://t.co/Q7B5RT48sJ #amazon #flipkart #mcommerce #myntra
2658,Thank You so much @Flipkart @flipkartsupport for making experience Worst.... Once i get tye refund Then tata Bye by… https://t.co/g4jlEJAQJv
2659,Buy All Our Books From Flipkart : https://t.co/11fqisUlHW https://t.co/uqGjJ5rZ4O
2660,Why government is not utilising resources from e commerce industries to deliver oxygen cylinders @GovtOfIndia_ @Flipkart @snapdeal @myntra
2661,"Go on with the gigantic 6000mAh battery in the all-new #motog60 &amp; #motog40fusion! Get yours starting at just ₹13,99… https://t.co/Gnalg6xVTE"
2662,"Order ID - OD121543702941117000
#Flipkart 
Today is the delivery date but #Flipkart  extending a date for more 3 days."
2663,Indian court throws out Flipkart-backed PhonePe’s plea over trademark claim https://t.co/3CVIYfPi1W
2664,Indian court throws out Flipkart-backed PhonePe’s plea over trademark claim https://t.co/DaDIe2yO9e #startup #technology
2665,"Rahul Phate's Research Product Cleopatra Kit Big (150 g)

Click here to buy-https://t.co/H8WoUBUmot
.
.
.
.
.
.
.
.… https://t.co/AhKf0rJTmz"
2666,"Rahul Phate Luster-X Hair Serum
    Luster X hydrates the hair completely, makes it soft, and effectively works on… https://t.co/FGwNlpUy1Z"
2667,"OPPO A53s 5G Launching on 27th of April @ 12:00PM in India🇮🇳

6.5"" HD+ display
1640×720p
480 nits
Dimensity 700
5g… https://t.co/YQZ5B9NrN1"
2668,"SAMSUNG 138 cm (55 inch) QLED Ultra HD (4K) Smart TV

Deal : ₹ 1,75,999/- 
Price : ₹ 2,11,900/- 

Shop Here 👉… https://t.co/3oBnewOIuV"
2669,"The mid-budget #A53s will be priced under Rs 15,000 and it will be available in India exclusively via @Flipkart.

M… https://t.co/XeTFkhB2z0"
2670,"This is ridiculous logic.
Maharashtra is currently under lockdown so Amazon and Flipkart are delivering only essent… https://t.co/IIXvEp6eaR"
2671,"Many would consider that you need leadership, confidence, or communication to be a better CEO. But, do they make a… https://t.co/LfQ9jYaJ4u"
2672,"Many would consider that you need leadership, confidence, or communication to be a better CEO. But, do they make a… https://t.co/d6Vv4mN6nh"
2673,"Marble stains Remover on Amazon/Flipkart 

#Bangalore #Chennai #Mumbai #Delhi #Pune #Kolkata  #Hyderabad #Ghaziabad… https://t.co/xCeVCGFJ1f"
2674,"Now what to say @Flipkart
I have DM you my contact number yesterday.
Shared via application also. Mentioned my phon… https://t.co/wxIB23lSA9"
2675,"#consumercomplaints @jagograhakjago @Flipkart has cheated us, no refund and no delivery, customer care are not able… https://t.co/ZndWqd7RrG"
2676,I have not received my affiliate amount of last year till now . In payment it's showing success on 8th Jan but it's… https://t.co/28DvnKqdRo
2677,https://t.co/3IIFVBE05o https://t.co/3IIFVBE05o Lok Sabha Speaker should look into news of my death: Sumitra Mahaja… https://t.co/9r930qGCbl
2678,"#Flipkart   Respected Sir, Kindly track my ordered. As it was delivered today but no response till yet. https://t.co/QPmjXoJOOd"
2679,Orgoveda natural Handmade soap gives freshness and brightness. The natural content in Orgoveda soap is harmless to… https://t.co/l9ik0zkAQC
2680,"Good thinking! @Flipkart ! 
 Reusing the boxes, saving the environment! https://t.co/0uSrJQ9SbK"
2681,"The legendary writer, and everyone’s favourite, @RealRuskinBond has a special message for all you aspiring writers.… https://t.co/LYCAgNIXog"
2682,"40% Off : Vaseline Intensive Care Deep Moisture Body Lotion (600 ml) 

https://t.co/nQspSneVq8

@269."
2683,"Be a show stopper, like Bryan &amp; Candy New York Impresso Man Pack of 3.

#naturalproduct #grooming #skincare… https://t.co/1mSOzvFznt"
2684,Hello @sankalpreddy! I saw your Antariksham movie and so I thought you may want to read my novel released this mont… https://t.co/6Su7xcJlbg
2685,Flipkart Big Saving Days: A Sneak Preview of Various Deals https://t.co/nF7JKanuk6 #bigsavingdays #flipkart #deals #Discounts
2686,Top Selling products on Amazon and Flipkart| Top Profitable products for... https://t.co/fKOr9Qgir7 via @YouTube
2687,"Order no.  OD121514882558801000 and OD121511621740155000
lost or dont know its prepaid order but i didnt recive my… https://t.co/t4kHcZ1Ylb"
2688,Contact Us https://t.co/hMNGc5nfXt via @FlipkartStories
2689,"Wahi purane coconut ladoo wala swaad,
Ab ""Sher Butter Coconut Ladoo"" mai hoga apke pass.

Buy Online at Amazon-… https://t.co/90xJAOagAw"
2690,"Go on with the gigantic 6000mAh battery in the all-new #motog60 &amp; #motog40fusion! Get yours starting at just ₹13,99… https://t.co/qQsqihJiuC"
2691,"जब ""Sher Nutty Coconut Ladoo"" है पास, तो हर पल बनेगा ख़ास।

Buy Online at Amazon-https://t.co/PuibR9zlEg
Buy Online… https://t.co/8u21PaDY4W"
2692,As we celebrate 3 years of togetherness. Come shop with us at Flipkart Anniversary Days Sale on 22nd- 23rd April an… https://t.co/F1Qj4bnlxq
2693,I bought an AC from flipkart. However when I started the AC compressor was found defective and not working.. Also a… https://t.co/RBF5c3Oht6
2694,"#OppoA53s5G India launch set for April 27, 2021; Check expected price &amp; other details here

@oppomobileindia @oppo… https://t.co/D4N6eC1CK2"
2695,"Dear @Flipkart, if in case you are unable to deliver my product in 2 days, I'll take my refund. Likh k lelo. 25th i… https://t.co/II6Q4NhHK5"
2696,"GoldenThings Spectacles flipkart views 😎🎉🛍️👍 
Order Now and get affordable price Spectacles frames. only on Flipkar… https://t.co/5wM1i4RWvM"
2697,"Your immunity is going to protect you against infections.
Get your daily dose of immunity with Dabur Vedic Suraksha… https://t.co/ar2SY9mD94"
2698,#PlayMustGoOn with non-stop gaming action on the #InfinixHOT10Play that comes loaded with a massive 6000mAh battery… https://t.co/W0W9rMi8Y0
2699,"Dear @Flipkart why you people playing with costumer, if you can't deliver the product why you took the order...wors… https://t.co/N51CZh5NbL"
2700,"Today Community Takes precedence over commerce - what a good message @TataCLiQ 😊

Others to follow @amazonIN… https://t.co/SFT48Wouaz"
2701,Lenovo M10 is amazing for students on budget https://t.co/oXohNJIGip
2702,My one of the @Flipkart order has not shipped in 4 to 5 days after order placed. So i had cancelled the order and a… https://t.co/Xvm4KPLR0r
2703,The most affordable 5G smartphone under 15K is finally here. Give it up for the all-new OPPO A53s 5G. Big on memory… https://t.co/zjSpFmesmt
2704,"Healthcare Products You Can Buy on Amazon, Flipkart During COVID-19 Pandemic - Gadget Informer @… https://t.co/sT5PB0HLfT"
2705,"Healthcare Products You Can Buy on Amazon, Flipkart During COVID-19 Pandemic - Gadgets 360

Healthcare Products You… https://t.co/hoS5jz2ZeR"
2706,"Match 16, Question 16!!!

Cmnt ur ans using #MGUIPLContest2021 &amp; #HarGharKiRasoiKiShaan

Follow 
@mguindore

Don't… https://t.co/OXG0psW31B"
2707,"#Flipkart No Responsibility Regarding Sellers
I have been a seller on Flipkart since Last Two Years and currently s… https://t.co/37TGb8bVRm"
2708,"Hi, I need to buy a Webcam with Mic for my online PG examinations next month. But at @Flipkart and @amazon it is co… https://t.co/nbqeUSTkH8"
2709,"T4
Called 3rd time in row got same result
They cut my call!!!
@Flipkart @flipkartsupport Is this a way to treat cus… https://t.co/7d3XdSdzHS"
2710,Thankyou #loser @Flipkart @flipkartsupport  never use agane @htTweets @the_hindu @technicalgruji @TechCrunch… https://t.co/nx6lkN2O1Q
2711,"For updates, Please Like, Share and Subscribed
YouTube Link: - https://t.co/KWsC0coV9b
Facebook Link: -… https://t.co/63JgEwMGNJ"
2712,"Hey @flipkartsupport, need ur help. Ordered something last week. The delivery date was April 22 but haven't receive… https://t.co/MI6a6SBvIC"
2713,"Mi QLED TV 75 for ₹1,19,999 launched in India. #Flipkart https://t.co/VQmU2p9v2x

Sale starts on 27th April, 12 Noo… https://t.co/ZTMnCkEimL"
2714,"It can be ....
@swiggy_in  , @bigbasket_com , @Flipkart @amazon .
#COVID19 #Remdisivir https://t.co/ve72jy6Y6N"
2715,Please do your bit as India goes through this challenging time..In the spirit of #Giving https://t.co/Zr0Ob5tLAm via @giveindia
2716,"Healthcare Products You Can Buy on Amazon, Flipkart During COVID-19... (NDTV Gadgets 360)

India is witnessing a ma… https://t.co/g0L9tMAyaT"
2717,"Healthcare Products You Can Buy on Amazon, Flipkart During COVID-19 Pandemic https://t.co/HNSkbYPy1E"
2718,"Can you guys start delivering these ? @Flipkart .
It’s essential item. Categorise as such please

https://t.co/uj2D5daQIg"
2719,"It has been 11 days since I first raised the issue for return, and have been hearing the same rhetoric that your re… https://t.co/YxnnDa0ZBQ"
2720,"Healthcare Products You Can Buy on Amazon, Flipkart During COVID-19 Pandemic https://t.co/LQJatJ1Ep0"
2721,"Hello @Flipkart 
I ordered a phone with an exchange, and it is  clearly mentioned that with parts missing it is goi… https://t.co/kO9otqzu7x"
2722,"To whom we can complain 
About @Flipkart .
They are not responding for Refund, they are not returning parcels.
Thei… https://t.co/UeNKlTf5LO"
2723,"T-3
Nearly 2 hours passed called 2 times the customer care they put my call on hold and then they cut my phone
Firs… https://t.co/CbeMawB7WX"
2724,"Healthcare Products You Can Buy on Amazon, Flipkart During COVID-19 Pandemic https://t.co/HcBirfIsKk"
2725,"HIMALAYA Purifying Neem Face Wash  (450 ml)
₹302 35% off, Combo OfferBuy 3 items save 5%
Unlimited offer just shop… https://t.co/f62qXkCm6S"
2726,"I m really frustrated,disappointed,depressed due to losses happening by @Flipkart
In return I got this toy instead… https://t.co/wDZx90Dd3J"
2727,DETTOL Original Germ Protection Bathing Soap  (6 x 125 g)₹271 or 17% off Original Germ Protection Bathing Soap SAVE… https://t.co/XuJN0zDfN5
2728,"Dabur Red Toothpaste  (600 g, Pack of 4)₹198 OR14% off 5% Unlimited Cashback on Flipkart Axis Bank Credit Card JUST… https://t.co/DmXnThAvXk"
2729,"ENgAgE Blush Deodorant Spray - For Women(150 ml)
242 OR 37% off @161.3/100ml Or Pay ₹229 + 13 Combo Offer… https://t.co/tW1GGbvAbE"
2730,"Shamelessly these fraudsters @Flipkart @flipkartsupport are operating and cheating openly to the nation.

2 items o… https://t.co/nKpQuM2m4M"
2731,We are delighted to be awarded by @Flipkart for the innovative programs launched for scaling customer engagements o… https://t.co/NW1ARvLdKH
2732,"BOMBAY SHAVING COMPANY Beard Growth Kit
₹342 or 42% off Special PriceGet extra ₹27 off
https://t.co/PYdq0ljqLc https://t.co/jWmWpJqsgZ"
2733,Hi @Flipkart @flipkartsupport @FlipkartStories This is the status of my order. I have not received wish master numb… https://t.co/uhq1fv9V9m
2734,"Go for the blue hues this summer! Shop these t-shirt &amp; short sets from Little Carrots! Order now! 
#summerwear… https://t.co/7ZGgvRqyT9"
2735,"सुचनार्थ-

Why is government is not leveraging online platforms to big e-commerce site  to sell remdesvir injection… https://t.co/D7vMePgjq7"
2736,"Healthcare Products You Can Buy on Amazon, Flipkart During COVID-19 Pandemic https://t.co/VIvZADfIGQ https://t.co/iFxpsiCSYB"
2737,"#LG XBOOM GO PL2 Water-Resistant With 10 Hours Playback 5 W Bluetooth Speaker at ₹2,999

https://t.co/aOPCMKcn9x"
2738,Flipkart- Buy WIPRO E10004 Lantern Emergency Light  (Yellow) at Rs 705 https://t.co/m97lCPiOLA
2739,"#Flipkart has partnered with #Adani Logistics, to improve its supply chain infrastructure and its capacity to serve… https://t.co/9hOqTyFEip"
2740,"These Fake N95 masks are sent to me with such big holes. I ordered 10, I recieved 8 wrapped in Flipkart package. No… https://t.co/8JB1JBs01x"
2741,I ♥ this product on Flipkart! Roadies I Love My India Bicycle Cycle Bike Bell (Pack Of 3) Bell… https://t.co/hoVN00csU0
2742,Issue regarding product by @Flipkart BEARDO PR3058 with order ID OD117635278111786000 unable to resolve since last… https://t.co/0IDgdneZTs
2743,#India This ex-Flipkart employees’ #startup @health_cora is helping people tackle #lifestyle diseases with nutritio… https://t.co/EeVoMUMvHP
2744,"#Flipkart 
Now deliver sand instead detergent, very funny ☹️ https://t.co/JxrA41Zw2c"
2745,4 house mates could have easily broken down the door.  They knew he was anxious. Pithani was staying in the room op… https://t.co/fl0SfgO1qV
2746,"Designed for grab and go- built-in rechargeable battery for music playback.

Now available on @flipkart

#speakers… https://t.co/8ewiMPa7dl"
2747,"Oppo A53s 5G Launch on 27th April exclusively on flipkart 

* Dimensity 700 5G 
* 6/8 GB RAM , 128 GB ROM 
* Side m… https://t.co/jdKQCYV9Vl"
2748,Flipkart- Buy WIPRO E10004 Lantern Emergency Light (Yellow) at Rs 705 https://t.co/RudSW9J8EF
2749,"Play your favourite tracks without any interruptions!
Enjoy up to 22 Hrs of Playback when you switch the… https://t.co/j2T2brSzKO"
2750,"Put an end to all your intimate hygiene worries!
Buy a SwatchShil Intimate Cleansing Spray today:… https://t.co/Rhj2uxJuPA"
2751,"Which company's Oximeter to buy, heard that there are many fake ones on Amazon and Flipkart. Any recommendations… https://t.co/DvPJSyLwrp"
2752,"Jeff Bezos is the number one enemy that #Baniyas like flipkart, future retail , reliance and adani have to address.… https://t.co/rNMvAWJmAp"
2753,"Marble stains Remover on Amazon/Flipkart 

#India #Karnataka #Tamilnadu #Telangana #Maharashtra #Delhi #Gujarat… https://t.co/25XhV1ziRO"
2754,"Is the government taking help of the best and brightest operations people in the industry to manage ambulance, oxyg… https://t.co/QtuPrPdQXt"
2755,Dear @Flipkart has the entire professionalism of this company went down such low that my order (Order ID OD22157575… https://t.co/7lf8foKAYT
2756,"2/2
Called customer care they cut my phone
Please resolve this issue asap
I need the correct delivery in urgent
In… https://t.co/8G1yfWuoIB"
2757,Hi @dell I bought a dell Vostro laptop from Flipkart. Your product didn't meet my expectations. It's very slow. I c… https://t.co/8o22DoOQAg
2758,Hello @2GUD @Flipkart I have booked JBL earbuds on 15th of April 2021 and it got delivered to me on 19th of April 2… https://t.co/5oSShMRsHH
2759,This is what I've ordered  and what I've  received  from @Flipkart . Received  duplicate @oppo Enco M31 earphone fr… https://t.co/IqSFabUKAm
2760,Dear @Flipkart @flipkartsupport wud u bet off in any other country with just a msg lik tat? saying order csncelled… https://t.co/9GZOm7TTe4
2761,"I see stock of Oxygen Concentrators in Amazon &amp; Flipkart 

23/4/2021"
2762,Dear @Flipkart has the entire professionalism of this company went down such low that my order (Order ID OD22157575… https://t.co/CMw4tRA3yH
2763,"Dear @realmeIndia 
The price of realme 8 5G is not as good as expected and @Flipkart  is  also not providing any ba… https://t.co/FCyXZr8qKD"
2764,"I ordered Waiting For a visa
The  autobiography of Dr.babasaheb Ambedkar
And Good thing is Ki yee Ajj Hi aye 😁😊😊… https://t.co/k5IOEjMOJC"
2765,"Hard Water stains Remover on Amazon/Flipkart 

#Bhopal #Kanpur #Tiruppur #Amritsar #Kozhikode #Warangal #Udaipur… https://t.co/ajvd7u45Cx"
2766,"My latest novel “A Sum Of Our Choices” is available.

Amazon Link (Paperback): https://t.co/9ThpqxwEKL

Kindle :… https://t.co/UPt7izXGN1"
2767,"Devil - Cute little #suitcase for kids in #black pattern.

Shop now
https://t.co/XPQjjyEbNl… https://t.co/toPwcHdtAQ"
